student_id,family_code,student_name,session,class_id,section_id,gr_no,gender,religion,dob,date_of_admission,status,whatsapp_number,father_cell_no,mother_cell_no,home_cell_no,place_of_birth,state,city,email,father_name,mother_name,home_address,created_at,student_image,admission_fee,monthly_fee,cnic
11,FC4030,Thomas Alexander,1,8,4,GR1011,Male,Sikhism,8/3/2007,11/27/2023,Active,-8806,(618)549-8347x89784,2198126334,6165419538,North April,Utah,Jesusfort,brandi20@example.net,Jacob Walters,Sherri Moore,"37933 Lisa Trace, Gomezshire, DC 82943",4/11/2025 6:32,default_student_1.jpg,4423,1032,19175-4704900-2
12,FC5932,Dr. Luis Johnson MD,1,7,4,GR1012,Female,Islam,8/6/2014,2/24/2024,Active,803-582-7785x1429,646-203-0535x73452,(298)502-5070x030,+1-451-705-6237x6254,Reyeschester,Kentucky,Maloneshire,ortizpeter@example.org,Marco Stanley,Melissa Miller,"02821 Pennington Rapid, New Courtneyberg, RI 79402",4/11/2025 6:32,default_student_2.jpg,3864,1301,36129-5364311-6
13,FC8704,Gerald Rojas,1,17,4,GR1013,Male,Christianity,9/5/2012,7/3/2020,Inactive,+1-707-615-4273x8526,260.948.4870x8984,(716)857-0040x4943,231-295-3985x225,West Michael,South Dakota,Marcusfurt,aarcher@example.org,Jeremy Peterson,Mikayla Browning,"931 Ramirez Village Apt. 821, New Daniel, NY 83355",4/11/2025 6:32,default_student_3.jpg,3168,1013,25363-8420798-3
14,FC1216,Lisa Fischer,1,14,6,GR1014,Female,Sikhism,10/18/2010,12/3/2022,Inactive,206-444-8885x5362,+1-596-757-0869x30582,+1-970-339-3426x1973,727.716.6446,West Anthonytown,Wisconsin,Jamesfurt,ograham@example.net,Michael Carson,Heather Carroll,"0678 Bob Port Suite 501, Lake Daniel, ND 62249",4/11/2025 6:32,default_student_4.jpg,1628,1648,11630-8683196-2
15,FC6503,Timothy Kirk,1,7,5,GR1015,Female,Hinduism,9/15/2006,12/14/2022,Inactive,(424)962-9264x8022,001-408-608-6259x118,445.244.8727,+1-492-780-5137x9378,South Kelsey,Arkansas,Port Zacharytown,garciacathy@example.net,Roy Hunt,Shannon Wilson MD,"59306 Holly Underpass, Buckburgh, MI 10648",4/11/2025 6:32,default_student_5.jpg,3758,1235,87368-3220368-5
16,FC7357,Jeremiah Munoz,1,5,5,GR1016,Female,Christianity,10/28/2016,6/13/2022,Active,+1-349-276-2074x36151,(202)869-0578x771,608-211-5517x028,5657282222,South Susanfurt,Arizona,East Cynthia,george35@example.org,Jason Cox,Jasmine Townsend,"622 Anthony Islands, North Brandonville, OK 80648",4/11/2025 6:32,default_student_6.jpg,1913,1805,68737-7352660-7
17,FC1516,Christian Buchanan,1,17,4,GR1017,Male,Sikhism,9/4/2019,7/1/2020,Active,(769)353-2583x86126,(763)276-3637x69144,+1-497-834-0956x180,4667617972,Jenkinsshire,Maine,West Michaelstad,wmccoy@example.org,Tyler Thompson,Elizabeth Walters,"64635 David Ridge Suite 206, Fordland, WI 56262",4/11/2025 6:32,default_student_7.jpg,2061,1936,30668-8488757-9
18,FC8983,Kristen Jackson,1,12,6,GR1018,Female,Sikhism,10/21/2009,9/2/2021,Active,308.827.5945,001-842-958-5826x84365,346.661.2209x98139,001-992-761-0015x751,Elizabethbury,Hawaii,Port Melissaburgh,careymelissa@example.net,Matthew Kim,Deborah Matthews,"PSC 2790, Box 6196, APO AA 31053",4/11/2025 6:32,default_student_8.jpg,4313,1350,34641-2400344-3
19,FC1241,Joy Castillo,1,10,4,GR1019,Male,Islam,1/3/2008,7/23/2022,Active,978.367.4238x52492,576-396-8147,925-312-0298x3006,985.751.0337x4430,Christopherport,Oregon,Perezstad,jvalencia@example.org,Curtis Parsons,Rachael Campbell,"5873 Chen Knolls, Ramirezfurt, WI 94134",4/11/2025 6:32,default_student_9.jpg,4369,1883,79251-2640549-4
20,FC2948,Sharon Castillo MD,1,9,5,GR1020,Male,Sikhism,11/11/2013,8/2/2021,Inactive,(532)857-3166x787,247.835.8017x56360,543-252-1250,3689021993,Port Aaron,South Carolina,Jonesburgh,jeremyperry@example.com,Jeffrey James,Lisa Adams,"7298 Johnathan Cove Apt. 402, South Jamie, TN 42383",4/11/2025 6:32,default_student_0.jpg,3570,666,12863-5608933-8
21,FC2896,Jordan Martinez,1,15,6,GR1021,Male,Christianity,1/26/2008,4/23/2024,Inactive,887-672-7852,(219)885-3735x7607,001-473-363-4772x37457,448.910.2505,Byrdchester,New York,East Peter,pam83@example.net,Joseph Daniels,Lauren Hernandez,"939 Johnson Oval Suite 830, North Dennismouth, VI 88870",4/11/2025 6:32,default_student_1.jpg,4486,538,15544-1682216-4
22,FC5254,Mary Rodriguez,1,14,4,GR1022,Female,Sikhism,2/27/2019,8/29/2024,Inactive,(345)473-2585x76757,212.867.8350,416.999.6830,668-381-1970x3695,Port Lindseytown,Pennsylvania,Ericview,watkinsjoshua@example.org,Paul Pennington,Leslie Walls,"997 Stephanie Pine Suite 656, North Ryanberg, WV 19079",4/11/2025 6:32,default_student_2.jpg,2525,1601,33368-4487045-7
23,FC5768,Barbara Jordan,1,7,6,GR1023,Female,Hinduism,10/25/2006,8/3/2022,Inactive,261-454-5938x805,304.352.5198x6149,001-527-408-3518,001-536-939-7524x583,Tonyaview,Oklahoma,North Donnamouth,monica50@example.org,Eduardo Wilson,Veronica Hunt,"68861 Brittney Mountain Suite 243, Nunezport, AZ 03503",4/11/2025 6:32,default_student_3.jpg,3942,691,54335-1598367-1
24,FC5417,Margaret Adams,1,14,6,GR1024,Female,Sikhism,7/10/2017,12/8/2022,Active,584-603-8249x06649,587-371-6528x03760,612-627-0586x1837,(467)602-8533x2342,East Jessechester,Virginia,East Katherine,nicoleperkins@example.org,Joseph Schroeder,Savannah Fletcher,"06268 Lewis Place Suite 121, Port Patriciatown, WA 32355",4/11/2025 6:32,default_student_4.jpg,2201,735,72660-5021600-1
25,FC6044,Joanna Hill,1,9,7,GR1025,Female,Hinduism,4/16/2013,3/18/2023,Inactive,+1-964-412-9330x08173,+1-484-209-2555x484,839.865.7472x7455,001-668-449-3363,Port Carla,Wisconsin,Starkview,pturner@example.net,Nicholas Donaldson,Andrea Harris,"32925 Smith Shoals Apt. 092, Suzannebury, MO 66011",4/11/2025 6:32,default_student_5.jpg,1445,703,83509-9072731-8
26,FC6522,Shannon Miller,1,12,4,GR1026,Female,Sikhism,8/15/2013,4/3/2021,Active,001-402-409-8453x635,429.398.6930x0690,(645)393-0525x47795,821.484.8697x629,New Kiaraburgh,West Virginia,Phillipsville,ybaker@example.org,Jordan Herrera,Amanda Smith,"66705 Christopher Lock, North Jason, PW 04119",4/11/2025 6:32,default_student_6.jpg,2236,1186,30403-3794348-7
27,FC2424,Richard Anderson,1,8,5,GR1027,Male,Sikhism,9/18/2018,10/20/2022,Active,(968)607-8282x39219,443-360-0810x422,905-325-9115x34757,357-566-8786,Lake Reginald,North Carolina,Eddieland,ericcruz@example.net,Barry Adams,Teresa Booth,"978 Hall Parkway Apt. 655, East Autumnfort, DE 48734",4/11/2025 6:32,default_student_7.jpg,1401,1306,82938-9707437-5
28,FC8348,Malik Gardner,1,11,4,GR1028,Female,Christianity,2/5/2015,8/4/2024,Inactive,909-950-5254,001-960-537-5207x82649,7798929759,001-528-566-3564,Sydneyside,Pennsylvania,Sheribury,claire25@example.org,Peter Pierce,Michelle Wilson,"PSC 7329, Box 5931, APO AP 65608",4/11/2025 6:32,default_student_8.jpg,3397,841,66521-4220302-6
29,FC2884,Elizabeth Hill,1,13,7,GR1029,Male,Islam,9/17/2009,4/14/2023,Inactive,(950)803-3928x71484,960-710-5249x87486,311.518.0985,5016419629,Erikburgh,Pennsylvania,East David,jonathankramer@example.org,Devon Miller,Mary Dickson,"8724 Rachel Squares, Latoyabury, AL 19300",4/11/2025 6:32,default_student_9.jpg,2630,1025,37162-1706344-4
30,FC3397,Natalie Lowe,1,12,7,GR1030,Female,Christianity,5/22/2013,5/10/2021,Active,(778)908-5327,643.515.7458,886-612-6191x8272,001-883-421-4756x8056,Lake Austin,South Carolina,Blackshire,nclark@example.com,Brent Morales MD,Martha Johnson,"661 Alicia Forge, Davisville, NY 17569",4/11/2025 6:32,default_student_0.jpg,3442,1499,29451-7809987-7
31,FC9539,Krista Meyer,1,12,7,GR1031,Male,Christianity,11/2/2016,12/12/2023,Active,+1-564-579-0553x037,8237771944,001-541-291-7599x1326,542.685.2185x5153,Curtisfurt,Montana,East Scottport,alisongreer@example.com,Kevin Walter,Natalie Wilson,"620 Brady Ports Apt. 511, Sanchezton, AK 93646",4/11/2025 6:32,default_student_1.jpg,2393,1945,51714-6399325-1
32,FC9603,Leah Owens,1,14,5,GR1032,Female,Hinduism,9/12/2010,4/4/2025,Inactive,586-423-1982x730,001-992-629-9211x414,001-660-812-7055,(204)633-1923x8375,Laneside,Florida,Jenniferside,tbradshaw@example.org,Mark Young,Stephanie Torres,"67048 Mcdonald Ville Apt. 204, Port Paulview, ID 64044",4/11/2025 6:32,default_student_2.jpg,1271,673,77702-1661287-2
33,FC4687,Deborah Powell,1,9,4,GR1033,Female,Hinduism,8/18/2016,7/3/2024,Active,520-735-4106x459,(321)335-7725x66659,-9854,(304)792-4481x85020,Shaunborough,Kansas,Nicoleshire,kgreen@example.com,Brian Rodriguez,Emily Wilson,"89403 Gabriella Mills, East Steven, MH 91501",4/11/2025 6:32,default_student_3.jpg,4279,804,95994-8729852-6
34,FC9273,Michael Duncan,1,14,4,GR1034,Male,Sikhism,10/25/2015,6/29/2023,Active,5119416346,+1-798-785-2609x6934,674.554.2237x5057,4172823695,Gutierrezmouth,New Hampshire,Alexandershire,carlosbraun@example.net,Joseph Powers,Lisa Clark,"503 Decker Way Suite 784, North Christopherfurt, SD 54569",4/11/2025 6:32,default_student_4.jpg,2186,1596,88461-8010202-8
35,FC7366,Matthew Juarez,1,15,4,GR1035,Male,Hinduism,5/26/2019,4/1/2022,Inactive,676-980-6472x6669,-4428,313-453-6095x2271,+1-603-220-8662x467,South Eric,Connecticut,South Lisaport,kevin09@example.com,Joel Brown,Sandra Robinson,"USNV Kelley, FPO AE 49995",4/11/2025 6:32,default_student_5.jpg,2362,634,74685-5395756-5
36,FC7685,Jessica Williams,1,5,5,GR1036,Male,Christianity,10/31/2007,5/30/2023,Inactive,4449000902,+1-319-920-8211x1913,(311)277-8281x25682,001-583-316-5858x9864,New Richard,Wyoming,Jillstad,andrew02@example.com,Michael Delgado,Audrey Burns,"4202 Li Islands, Lake Cody, WY 65380",4/11/2025 6:32,default_student_6.jpg,3987,1184,17278-1602869-8
37,FC7846,David Lopez,1,14,4,GR1037,Male,Hinduism,3/30/2008,5/4/2022,Inactive,(861)646-8505x360,001-324-404-1560x43245,439.799.1640x4009,(963)998-3083,Tamarastad,Mississippi,Port Latoyachester,jacob36@example.net,Sean Lopez,Jennifer Long,"7341 Rebekah Alley Suite 212, Gregoryview, NC 85025",4/11/2025 6:32,default_student_7.jpg,1144,1752,71116-7487464-8
38,FC1770,Joshua Coleman,1,17,5,GR1038,Male,Islam,3/3/2014,4/17/2021,Active,595-844-4698x078,760-906-8140x076,578.379.2909x53461,(697)927-5727,Jennabury,Wyoming,West Sandraview,pli@example.net,Steven Gordon,Taylor Lee,"98027 Anna Common Suite 527, Bradville, FM 13697",4/11/2025 6:32,default_student_8.jpg,3580,1163,23800-6816123-4
39,FC7281,Ashley Sandoval,1,5,7,GR1039,Female,Islam,2/22/2016,5/19/2023,Inactive,(907)866-3164,+1-676-926-3634x12755,732-472-5372x18997,752-645-1165,Melissatown,Illinois,Danielleburgh,thomasallen@example.net,David Thornton,Natasha Myers,"201 Crystal Village, Lawsonville, LA 11227",4/11/2025 6:32,default_student_9.jpg,4229,760,60809-5929205-2
40,FC9503,Ariana Castaneda,1,17,7,GR1040,Female,Hinduism,6/1/2011,9/13/2023,Active,(487)345-2642,985.271.5864,(852)373-3127,(931)652-3398x575,Andrewburgh,Louisiana,New Amy,collinsgordon@example.org,William Hoffman,Nancy Bennett,"57280 Drake Alley Apt. 802, North Manuelport, TN 25901",4/11/2025 6:32,default_student_0.jpg,2865,1230,92839-2263988-1
41,FC1655,Megan Chang,1,5,5,GR1041,Male,Islam,9/23/2018,10/12/2021,Inactive,(268)995-6360x939,001-806-923-1925x4475,648-847-8565x64037,(422)973-2931x48829,South Sharonchester,Idaho,Port Sheilahaven,warnervirginia@example.net,Stephen Garza,Christine Howard,"2598 Catherine Track Suite 941, South Mary, CT 98681",4/11/2025 6:32,default_student_1.jpg,3077,1125,24869-3444279-7
42,FC7914,Teresa Anderson,1,11,4,GR1042,Male,Sikhism,12/23/2017,7/14/2022,Active,752-875-8116x003,956.691.5179,960.255.2184,+1-222-889-5716x474,Port Rebeccaville,Florida,Markberg,amcbride@example.net,Christopher Aguirre,Cassandra Lane,"8782 Underwood Junction, Lake Sarah, MN 77948",4/11/2025 6:32,default_student_2.jpg,4007,562,68552-8232428-7
43,FC1493,Bradley Allen,1,16,6,GR1043,Male,Hinduism,9/18/2009,5/5/2024,Active,001-630-965-4594x780,(637)508-9653x95422,256-324-4926,(566)711-9381,Gallowayville,Wyoming,Port Paula,sawyersamuel@example.com,Antonio Jones,Linda Jackson,"499 Edward Vista, New Matthewport, MH 72138",4/11/2025 6:32,default_student_3.jpg,1497,1235,13850-6795607-6
44,FC3914,Lauren Smith,1,10,4,GR1044,Male,Christianity,4/17/2013,4/14/2023,Active,254-251-4925,+1-996-306-3697x4029,+1-200-812-6692x3810,(242)860-5683x8593,Palmerton,Illinois,Stephenburgh,jasongonzalez@example.com,Gary Torres,Laura Perry,"97263 Gill Crossroad Suite 950, East William, NM 29893",4/11/2025 6:32,default_student_4.jpg,1838,1849,98310-3066753-1
45,FC5804,Angela Rodriguez,1,14,5,GR1045,Male,Christianity,1/31/2009,11/8/2022,Inactive,8516298928,8522083794,001-739-643-5147x54041,653.433.3618,Rebeccatown,Ohio,New Ryanville,linda38@example.com,Steven Garcia,Megan Gomez MD,"74389 Chris Union Apt. 564, Sarahville, WY 18910",4/11/2025 6:32,default_student_5.jpg,1460,1476,55147-5332193-3
46,FC1457,Mark Hunter,1,10,7,GR1046,Female,Hinduism,5/5/2007,3/11/2024,Inactive,(475)394-7240x6179,001-816-734-1694x80906,732.911.8924,736.529.9252x05218,Lake Julieside,Connecticut,Millsfort,matthew91@example.org,Timothy Green,Colleen Chapman,"2017 Mcneil Isle, Scottmouth, VA 42613",4/11/2025 6:32,default_student_6.jpg,1753,1714,20591-2721014-9
47,FC6042,Robyn Cross,1,7,5,GR1047,Male,Hinduism,5/16/2012,6/19/2023,Active,306.798.4690,7625120843,001-613-865-4017,327.702.0290,Lake Jeffreybury,New York,Larrystad,tricia79@example.net,Reginald Sanchez,Tonya Garcia,"967 Foster Street, Jacquelineborough, DC 80535",4/11/2025 6:32,default_student_7.jpg,1969,876,48149-7248874-7
48,FC1757,Edward Morales,1,11,4,GR1048,Male,Christianity,2/24/2015,9/13/2020,Inactive,699.936.4841x594,319.545.1650x159,001-900-504-7180,684-343-6977x450,Heatherberg,Missouri,Bakerstad,colleen32@example.net,Mr. John Miller,Carrie Williams,"0652 Ware Cape Suite 549, Charlesstad, MP 03097",4/11/2025 6:32,default_student_8.jpg,2226,1627,64624-3387120-7
49,FC5882,Sandra Thompson,1,8,7,GR1049,Female,Islam,9/29/2016,10/12/2022,Inactive,001-947-807-2353x106,+1-290-650-0743x2716,320-704-6894,795.245.3083x7806,Lake Joanne,Oklahoma,North Lori,edward39@example.com,Jeffrey Griffin,Heather Lowe,"436 Brian Trafficway Apt. 295, North Bob, ND 21817",4/11/2025 6:32,default_student_9.jpg,2673,517,64686-6379966-8
50,FC4342,Brittney Taylor,1,12,4,GR1050,Male,Islam,8/5/2015,11/11/2021,Inactive,(360)754-5903x90555,(416)335-9423x829,899-889-1925x47472,(715)424-2571x554,Rasmussenborough,Hawaii,Riddlechester,kathydiaz@example.org,Wayne Bradley,Sarah Ferrell MD,"93697 Greene Lodge Suite 042, Port Maria, DE 66558",4/11/2025 6:32,default_student_0.jpg,1459,1643,89370-3581658-8
51,FC7533,Caitlin Parrish,1,11,5,GR1051,Male,Sikhism,2/24/2010,5/5/2021,Inactive,407-657-5834x907,850.449.6303,298-832-6975x792,+1-965-942-4746x93732,Lake Rebeccachester,Illinois,Hannahchester,parkerfrank@example.org,Christopher Clark,Rebecca Brown,"442 Joshua Village Suite 164, Jenniferside, NC 82500",4/11/2025 6:32,default_student_1.jpg,4838,1571,28686-6962076-8
52,FC2417,Brian Peters,1,9,4,GR1052,Female,Sikhism,10/4/2015,10/2/2020,Active,8568975931,+1-719-848-5200x26505,-4666,5107536916,North Sarahberg,Louisiana,Lake Jill,jasoncharles@example.com,Dalton Horne,Michelle Lewis,"548 Victor Forest Apt. 914, Davidsonton, CT 43469",4/11/2025 6:32,default_student_2.jpg,1895,1111,25002-6052609-9
53,FC3559,Marc Ponce,1,6,7,GR1053,Male,Sikhism,12/9/2007,4/27/2022,Inactive,291-916-7253x2320,988.936.3391x5241,874.773.7293,(246)622-9871x39594,Boothborough,Montana,West Beth,wardaustin@example.net,Kenneth Weber,Nicole Brown,"USNV Chavez, FPO AP 03943",4/11/2025 6:32,default_student_3.jpg,3588,544,25837-5531163-1
54,FC1004,Janet Fisher,1,13,7,GR1054,Female,Islam,10/20/2019,8/23/2020,Inactive,800-651-9081x98039,612-812-8337,908.387.1326,531.226.7649,Moorefort,West Virginia,North Natalie,qaguilar@example.com,Robert Rivera,Kim Kirby,"4386 Carter Light, Juliaborough, MP 13013",4/11/2025 6:32,default_student_4.jpg,2449,1080,98152-4288852-2
55,FC1580,Cory Sanchez,1,9,6,GR1055,Male,Christianity,5/11/2015,9/1/2021,Active,436-373-4856x19771,844.806.6309x20665,5474990102,001-556-428-4731x4293,Lake Anthonyview,Maryland,South Stevenburgh,jacksonmichelle@example.net,Brandon Boyer,Megan Murray,"0677 Mary Roads Apt. 881, Lake Kayla, PR 96792",4/11/2025 6:32,default_student_5.jpg,1278,1349,47970-5743722-9
56,FC3202,Tammy Morris,1,11,7,GR1056,Female,Hinduism,3/15/2010,10/11/2020,Inactive,241-499-2170x75462,(563)249-8900,001-754-479-4485,578-611-2256,Courtneyview,North Carolina,New Lindaland,hstanley@example.net,Jason Tyler,Miranda Huff,"8056 Campbell Corner, Paynemouth, PW 78547",4/11/2025 6:32,default_student_6.jpg,2522,1663,92419-3312114-3
57,FC3020,Maxwell Santiago,1,11,7,GR1057,Male,Hinduism,1/9/2007,2/22/2022,Inactive,286.728.8034x834,001-246-820-3943x740,(380)721-5634x68592,206.964.5383,East Juan,Idaho,Hallland,randyhenderson@example.org,Dwayne Aguirre,Amanda Harris,"517 Walker Prairie, Port Craigmouth, PR 25517",4/11/2025 6:32,default_student_7.jpg,3589,1468,64408-4657600-8
58,FC9009,Patrick Ingram,1,15,4,GR1058,Female,Hinduism,6/7/2007,12/22/2023,Active,473.278.6872,871.265.2199x57937,(344)984-6907,478-957-9143x6757,Calebshire,Indiana,Lake Alicia,thompsonadam@example.net,Randall Vazquez,Joy Peters,"654 Williams Bypass, East Rodneyland, AZ 49707",4/11/2025 6:32,default_student_8.jpg,4052,1514,16868-4619079-1
59,FC6822,Daniel Adams,1,5,4,GR1059,Male,Sikhism,8/2/2006,10/2/2021,Active,290.210.4272x3338,275.921.0900x364,518-621-5583x899,332.725.1146x68482,Martinezburgh,Arkansas,Everetttown,sarah95@example.org,Anthony Johnson,Samantha Rodriguez,"4701 Hall Groves, East Amystad, MN 35533",4/11/2025 6:32,default_student_9.jpg,2479,584,25224-1062752-5
60,FC5792,Amy Ortiz,1,17,6,GR1060,Male,Islam,11/14/2019,5/10/2023,Inactive,402-475-3316x581,+1-593-981-4860x5379,817.835.9559x90615,(532)456-6843x316,North Matthew,Missouri,Port Daleside,diazfrank@example.com,Eric Saunders,Mrs. Carolyn Hayes,"68551 Sarah Squares Apt. 553, Lake Samanthastad, RI 06839",4/11/2025 6:32,default_student_0.jpg,2887,1967,53279-7444634-3
61,FC6418,Jeffrey Reid,1,7,7,GR1061,Male,Hinduism,8/23/2015,3/27/2022,Active,5777131339,(804)440-5905x261,+1-277-385-0501x77038,(516)427-9949x6080,South Tonya,New Hampshire,North William,conradthomas@example.com,Ryan Walton,Gina Lynch,"90777 Coleman Track, North Jessicamouth, MS 64189",4/11/2025 6:32,default_student_1.jpg,1855,882,68212-6858053-7
62,FC8000,Kevin Nichols,1,16,5,GR1062,Male,Sikhism,9/2/2009,2/4/2025,Active,001-353-724-8826x91463,(626)287-1465x5656,575.831.5066,665.310.3413,East Joe,Vermont,Walshport,johnmeyer@example.org,John Howell,Sarah Hardy,"542 Kim Lodge, Michaelfort, PR 54847",4/11/2025 6:32,default_student_2.jpg,3402,1954,16526-7515391-1
63,FC4834,Jesse Baker,1,10,4,GR1063,Male,Christianity,5/30/2013,12/29/2023,Inactive,605.675.0575x7118,+1-765-271-5768x068,(509)578-9630x488,+1-218-861-8045x50728,Timothyside,Utah,West Fernando,shellystevenson@example.org,Devin Reed DVM,Brittany Kramer,"936 Todd Hollow, Lake Codyport, IL 04306",4/11/2025 6:32,default_student_3.jpg,3508,677,77124-5771842-6
64,FC7740,Brandon Cole,1,15,7,GR1064,Female,Sikhism,7/31/2011,6/17/2024,Inactive,(443)985-8915x6518,+1-696-285-4822x121,001-538-856-8518x970,7668988311,Deborahfort,New Jersey,Lake Dawn,abigail75@example.org,Nathan Peterson,Brittany Hill,"74822 Erica Parkway Apt. 701, Karenchester, MI 30198",4/11/2025 6:32,default_student_4.jpg,3884,1474,38235-6657180-5
65,FC1691,Sara Gibbs,1,7,6,GR1065,Male,Hinduism,7/14/2014,3/11/2025,Active,319.799.7405x87184,7922425736,(959)573-7699x566,(470)530-7021,Lake Davidchester,Illinois,East Nicholasville,gatkins@example.org,Anthony Rodriguez,Ashley Hoffman,"24798 Kyle Shoals, Maryshire, RI 29710",4/11/2025 6:32,default_student_5.jpg,1575,630,66065-4727335-7
66,FC4620,Philip Zuniga,1,10,4,GR1066,Male,Hinduism,2/13/2017,6/26/2024,Inactive,(253)432-9676,+1-204-910-6023x413,(367)934-1576x5900,237.880.4303x584,Heatherbury,Illinois,Andresville,davislaurie@example.net,Joseph Nelson,Chelsea Hayes,"821 Bass Ferry, Lake Jordanchester, MH 40302",4/11/2025 6:32,default_student_6.jpg,3195,1433,52617-5286576-1
67,FC9552,Brandi Rodriguez,1,10,4,GR1067,Male,Hinduism,5/31/2010,1/24/2022,Active,540-512-8742x1139,(473)279-7156,(999)229-2658x83353,001-869-670-8535x20571,East Elizabeth,New Mexico,Lake Jennifermouth,brittany40@example.net,Devin Davis,Stephanie Henson,"USNS Miller, FPO AA 41268",4/11/2025 6:32,default_student_7.jpg,4429,912,42935-6055333-5
68,FC9468,Tammy Underwood,1,12,6,GR1068,Male,Islam,1/31/2010,7/26/2020,Inactive,+1-255-599-7089x7649,(555)626-3600x498,(490)964-3009,+1-623-695-4681x873,Port Michaelport,Oregon,Jesusport,alicia44@example.com,Michael Butler,Casey Galloway DDS,"877 Clark Plains Suite 513, Collinsshire, WV 14308",4/11/2025 6:32,default_student_8.jpg,4826,1630,19481-1154492-8
69,FC9115,Alison Peck,1,17,7,GR1069,Female,Sikhism,10/31/2017,4/6/2022,Inactive,-2992,588-575-9728x3079,001-430-841-6565,426.623.0577x154,East Alexandriaview,Kansas,South Danielside,lburgess@example.com,Aaron Walker,Sharon Watson,"80644 Adams Road Apt. 092, New Aaron, VA 17214",4/11/2025 6:32,default_student_9.jpg,1483,675,20679-5045731-2
